I0229 21:50:36.537703 188631 Oracle_NN.py:288] key:airplane,train_idx:0,train_slicer:2832,num:2832
I0229 21:50:36.538581 188631 Oracle_NN.py:289] key:airplane,train_idx:0,train_slicer:809,num:809
I0229 21:50:48.968445 188631 Oracle_NN.py:157] loss:0.06864938553786593, idx:347, prediction shapetorch.Size([1, 1024, 3])
I0229 21:51:01.325581 188631 Oracle_NN.py:157] loss:0.037047808547536795, idx:120, prediction shapetorch.Size([1, 1024, 3])
I0229 21:51:13.677129 188631 Oracle_NN.py:157] loss:0.06095555234920666, idx:1257, prediction shapetorch.Size([1, 1024, 3])
I0229 21:51:26.071529 188631 Oracle_NN.py:157] loss:0.0424971627233063, idx:1533, prediction shapetorch.Size([1, 1024, 3])
I0229 21:51:38.515478 188631 Oracle_NN.py:157] loss:0.033958212791357814, idx:318, prediction shapetorch.Size([1, 1024, 3])
I0229 21:51:50.869453 188631 Oracle_NN.py:157] loss:0.06454259402552864, idx:434, prediction shapetorch.Size([1, 1024, 3])
I0229 21:52:03.295661 188631 Oracle_NN.py:157] loss:0.038821081027905574, idx:409, prediction shapetorch.Size([1, 1024, 3])
I0229 21:52:15.657879 188631 Oracle_NN.py:157] loss:0.06425731398789475, idx:542, prediction shapetorch.Size([1, 1024, 3])
I0229 21:52:28.009137 188631 Oracle_NN.py:157] loss:0.06751551856459602, idx:362, prediction shapetorch.Size([1, 1024, 3])
I0229 21:52:40.430705 188631 Oracle_NN.py:157] loss:0.039334011051897974, idx:281, prediction shapetorch.Size([1, 1024, 3])
I0229 21:52:52.741260 188631 Oracle_NN.py:157] loss:0.09567241752692521, idx:626, prediction shapetorch.Size([1, 1024, 3])
I0229 21:53:05.146724 188631 Oracle_NN.py:157] loss:0.042704764777828155, idx:1664, prediction shapetorch.Size([1, 1024, 3])
I0229 21:53:17.481805 188631 Oracle_NN.py:157] loss:0.04150143187505896, idx:490, prediction shapetorch.Size([1, 1024, 3])
I0229 21:53:29.900361 188631 Oracle_NN.py:157] loss:0.0818972091884634, idx:1442, prediction shapetorch.Size([1, 1024, 3])
I0229 21:53:42.273221 188631 Oracle_NN.py:157] loss:0.08586735915201579, idx:1977, prediction shapetorch.Size([1, 1024, 3])
I0229 21:53:54.689634 188631 Oracle_NN.py:157] loss:0.05259335641791249, idx:1274, prediction shapetorch.Size([1, 1024, 3])
I0229 21:54:07.007045 188631 Oracle_NN.py:157] loss:0.04931730131311242, idx:404, prediction shapetorch.Size([1, 1024, 3])
I0229 21:54:19.318657 188631 Oracle_NN.py:157] loss:0.07726171235679977, idx:29, prediction shapetorch.Size([1, 1024, 3])
I0229 21:54:31.668479 188631 Oracle_NN.py:157] loss:0.0465237934809325, idx:2795, prediction shapetorch.Size([1, 1024, 3])
I0229 21:54:44.022047 188631 Oracle_NN.py:157] loss:0.06326215163800743, idx:2287, prediction shapetorch.Size([1, 1024, 3])
I0229 21:54:56.302340 188631 Oracle_NN.py:157] loss:0.04714327092179938, idx:1949, prediction shapetorch.Size([1, 1024, 3])
I0229 21:55:08.663583 188631 Oracle_NN.py:157] loss:0.03551528763021408, idx:2287, prediction shapetorch.Size([1, 1024, 3])
I0229 21:55:21.121492 188631 Oracle_NN.py:157] loss:0.03412350246840034, idx:1017, prediction shapetorch.Size([1, 1024, 3])
I0229 21:55:33.485508 188631 Oracle_NN.py:157] loss:0.04353090472270753, idx:471, prediction shapetorch.Size([1, 1024, 3])
I0229 21:55:45.824368 188631 Oracle_NN.py:157] loss:0.036277528864591416, idx:1806, prediction shapetorch.Size([1, 1024, 3])
I0229 21:55:58.100762 188631 Oracle_NN.py:157] loss:0.03988990221921744, idx:1949, prediction shapetorch.Size([1, 1024, 3])
I0229 21:56:10.541424 188631 Oracle_NN.py:157] loss:0.028975667292836585, idx:674, prediction shapetorch.Size([1, 1024, 3])
I0229 21:56:22.831754 188631 Oracle_NN.py:157] loss:0.050253058637832, idx:303, prediction shapetorch.Size([1, 1024, 3])
I0229 21:56:35.224080 188631 Oracle_NN.py:157] loss:0.06254404360152087, idx:1781, prediction shapetorch.Size([1, 1024, 3])
I0229 21:56:47.567718 188631 Oracle_NN.py:157] loss:0.06021186867743461, idx:2100, prediction shapetorch.Size([1, 1024, 3])
I0229 21:56:59.984604 188631 Oracle_NN.py:157] loss:0.04221949609223359, idx:1953, prediction shapetorch.Size([1, 1024, 3])
I0229 21:57:12.279392 188631 Oracle_NN.py:157] loss:0.07996828222188689, idx:1495, prediction shapetorch.Size([1, 1024, 3])
I0229 21:57:24.699608 188631 Oracle_NN.py:157] loss:0.03513651281793225, idx:2643, prediction shapetorch.Size([1, 1024, 3])
I0229 21:57:37.055141 188631 Oracle_NN.py:157] loss:0.04748839410036755, idx:1308, prediction shapetorch.Size([1, 1024, 3])
I0229 21:57:49.404242 188631 Oracle_NN.py:157] loss:0.030881422845445042, idx:382, prediction shapetorch.Size([1, 1024, 3])
I0229 21:58:01.855818 188631 Oracle_NN.py:157] loss:0.04009364599295443, idx:2381, prediction shapetorch.Size([1, 1024, 3])
I0229 21:58:14.197390 188631 Oracle_NN.py:157] loss:0.04780425343784065, idx:1518, prediction shapetorch.Size([1, 1024, 3])
I0229 21:58:26.594188 188631 Oracle_NN.py:157] loss:0.05010009648356112, idx:2620, prediction shapetorch.Size([1, 1024, 3])
I0229 21:58:38.885267 188631 Oracle_NN.py:157] loss:0.07044337461305286, idx:278, prediction shapetorch.Size([1, 1024, 3])
I0229 21:58:51.373458 188631 Oracle_NN.py:157] loss:0.053818054972285555, idx:1629, prediction shapetorch.Size([1, 1024, 3])
